Treatment,Env,Line,seedwt,TreatmentName,seedwtzeros,water,fertilizer,spacing,stress_intensity
1,4,B73,3.454,PAC,3.454,full,lowN,regular,1
2,4,B73,3.569,UCN,3.569,full,lowN,regular,1
3,4,B73,,PCZ,0,full,lowN,regular,1
4,4,B73,3.625,GA,3.625,full,lowN,regular,1
5,4,B73,,PACGA,0,full,lowN,regular,1
6,4,B73,,nohormone,0,full,lowN,regular,1
1,6,Mo017,3.339,PAC,3.339,full,lowN,dense,2
2,6,Mo017,,UCN,0,full,lowN,dense,2
3,6,Mo017,0,PCZ,0,full,lowN,dense,2
4,6,Mo017,3.096,GA,3.096,full,lowN,dense,2
5,6,Mo017,,PACGA,0,full,lowN,dense,2
6,6,Mo017,3.349,nohormone,3.349,full,lowN,dense,2
1,6,Mo360,0,PAC,0,full,lowN,dense,2
2,6,Mo360,0,UCN,0,full,lowN,dense,2
3,6,Mo360,,PCZ,0,full,lowN,dense,2
4,6,Mo360,3.727,GA,3.727,full,lowN,dense,2
5,6,Mo360,,PACGA,0,full,lowN,dense,2
6,6,Mo360,0,nohormone,0,full,lowN,dense,2
1,6,B73,,PAC,0,full,lowN,dense,2
2,6,B73,,UCN,0,full,lowN,dense,2
3,6,B73,,PCZ,0,full,lowN,dense,2
4,6,B73,,GA,0,full,lowN,dense,2
5,6,B73,,PACGA,0,full,lowN,dense,2
6,6,B73,,nohormone,0,full,lowN,dense,2
1,4,Mo298,,PAC,,full,lowN,regular,1
2,4,Mo298,,UCN,,full,lowN,regular,1
3,4,Mo298,,PCZ,,full,lowN,regular,1
4,4,Mo298,,GA,,full,lowN,regular,1
5,4,Mo298,,PACGA,,full,lowN,regular,1
6,4,Mo298,,nohormone,,full,lowN,regular,1
1,4,Mo017,0,PAC,0,full,lowN,regular,1
2,4,Mo017,0,UCN,0,full,lowN,regular,1
3,4,Mo017,,PCZ,0,full,lowN,regular,1
4,4,Mo017,0,GA,0,full,lowN,regular,1
5,4,Mo017,3.116,PACGA,3.116,full,lowN,regular,1
6,4,Mo017,,nohormone,0,full,lowN,regular,1
1,6,Mo298,,PAC,0,full,lowN,dense,2
2,6,Mo298,,UCN,0,full,lowN,dense,2
3,6,Mo298,,PCZ,0,full,lowN,dense,2
4,6,Mo298,,GA,0,full,lowN,dense,2
5,6,Mo298,,PACGA,0,full,lowN,dense,2
6,6,Mo298,,nohormone,0,full,lowN,dense,2
1,6,Mo017,,PAC,0,full,lowN,dense,2
2,6,Mo017,,UCN,0,full,lowN,dense,2
3,6,Mo017,,PCZ,0,full,lowN,dense,2
4,6,Mo017,0,GA,0,full,lowN,dense,2
5,6,Mo017,,PACGA,0,full,lowN,dense,2
6,6,Mo017,,nohormone,0,full,lowN,dense,2
1,4,B73,,PAC,0,full,lowN,regular,1
2,4,B73,,UCN,0,full,lowN,regular,1
3,4,B73,,PCZ,0,full,lowN,regular,1
4,4,B73,,GA,0,full,lowN,regular,1
5,4,B73,,PACGA,0,full,lowN,regular,1
6,4,B73,,nohormone,0,full,lowN,regular,1
1,4,Mo287,,PAC,0,full,lowN,regular,1
2,4,Mo287,,UCN,0,full,lowN,regular,1
3,4,Mo287,,PCZ,0,full,lowN,regular,1
4,4,Mo287,,GA,0,full,lowN,regular,1
5,4,Mo287,,PACGA,0,full,lowN,regular,1
6,4,Mo287,,nohormone,0,full,lowN,regular,1
1,4,Mo17,,PAC,0,full,lowN,regular,1
2,4,Mo17,0,UCN,0,full,lowN,regular,1
3,4,Mo17,,PCZ,0,full,lowN,regular,1
4,4,Mo17,,GA,0,full,lowN,regular,1
5,4,Mo17,,PACGA,0,full,lowN,regular,1
6,4,Mo17,,nohormone,0,full,lowN,regular,1
1,6,B73,,PAC,0,full,lowN,dense,2
2,6,B73,,UCN,0,full,lowN,dense,2
3,6,B73,,PCZ,0,full,lowN,dense,2
4,6,B73,,GA,0,full,lowN,dense,2
5,6,B73,,PACGA,0,full,lowN,dense,2
6,6,B73,,nohormone,0,full,lowN,dense,2
1,6,Mo287,,PAC,0,full,lowN,dense,2
2,6,Mo287,,UCN,0,full,lowN,dense,2
3,6,Mo287,,PCZ,0,full,lowN,dense,2
4,6,Mo287,,GA,0,full,lowN,dense,2
5,6,Mo287,,PACGA,0,full,lowN,dense,2
6,6,Mo287,,nohormone,0,full,lowN,dense,2
1,6,Mo17,,PAC,0,full,lowN,dense,2
2,6,Mo17,,UCN,0,full,lowN,dense,2
3,6,Mo17,,PCZ,0,full,lowN,dense,2
4,6,Mo17,,GA,0,full,lowN,dense,2
5,6,Mo17,,PACGA,0,full,lowN,dense,2
6,6,Mo17,,nohormone,0,full,lowN,dense,2
1,4,Oh43,,PAC,0,full,lowN,regular,1
2,4,Oh43,,UCN,0,full,lowN,regular,1
3,4,Oh43,,PCZ,0,full,lowN,regular,1
4,4,Oh43,2.487,GA,2.487,full,lowN,regular,1
5,4,Oh43,,PACGA,0,full,lowN,regular,1
6,4,Oh43,,nohormone,0,full,lowN,regular,1
1,4,Mo276,0,PAC,0,full,lowN,regular,1
2,4,Mo276,0,UCN,0,full,lowN,regular,1
3,4,Mo276,0,PCZ,0,full,lowN,regular,1
4,4,Mo276,0,GA,0,full,lowN,regular,1
5,4,Mo276,2.722,PACGA,2.722,full,lowN,regular,1
6,4,Mo276,0,nohormone,0,full,lowN,regular,1
1,4,LH132,,PAC,0,full,lowN,regular,1
2,4,LH132,0,UCN,0,full,lowN,regular,1
3,4,LH132,,PCZ,0,full,lowN,regular,1
4,4,LH132,0,GA,0,full,lowN,regular,1
5,4,LH132,,PACGA,0,full,lowN,regular,1
6,4,LH132,,nohormone,0,full,lowN,regular,1
1,6,Mo276,0,PAC,0,full,lowN,dense,2
2,6,Mo276,,UCN,0,full,lowN,dense,2
3,6,Mo276,,PCZ,0,full,lowN,dense,2
4,6,Mo276,,GA,0,full,lowN,dense,2
5,6,Mo276,,PACGA,0,full,lowN,dense,2
6,6,Mo276,,nohormone,0,full,lowN,dense,2
1,6,LH132,,PAC,0,full,lowN,dense,2
2,6,LH132,,UCN,0,full,lowN,dense,2
3,6,LH132,,PCZ,0,full,lowN,dense,2
4,6,LH132,,GA,0,full,lowN,dense,2
5,6,LH132,,PACGA,0,full,lowN,dense,2
6,6,LH132,,nohormone,0,full,lowN,dense,2
1,4,CML103,3.126,PAC,3.126,full,lowN,regular,1
2,4,CML103,,UCN,0,full,lowN,regular,1
3,4,CML103,0,PCZ,0,full,lowN,regular,1
4,4,CML103,3.764,GA,3.764,full,lowN,regular,1
5,4,CML103,2.695,PACGA,2.695,full,lowN,regular,1
6,4,CML103,3.849,nohormone,3.849,full,lowN,regular,1
1,4,Mo360,3.928,PAC,3.928,full,lowN,regular,1
2,4,Mo360,4.356,UCN,4.356,full,lowN,regular,1
3,4,Mo360,0,PCZ,0,full,lowN,regular,1
4,4,Mo360,2.857,GA,2.857,full,lowN,regular,1
5,4,Mo360,0,PACGA,0,full,lowN,regular,1
6,4,Mo360,3.749,nohormone,3.749,full,lowN,regular,1
1,4,B73,,PAC,0,full,lowN,regular,1
2,4,B73,,UCN,0,full,lowN,regular,1
3,4,B73,,PCZ,0,full,lowN,regular,1
4,4,B73,,GA,0,full,lowN,regular,1
5,4,B73,,PACGA,0,full,lowN,regular,1
6,4,B73,,nohormone,0,full,lowN,regular,1
1,6,CML103,2.862,PAC,2.862,full,lowN,dense,2
2,6,CML103,0,UCN,0,full,lowN,dense,2
3,6,CML103,,PCZ,0,full,lowN,dense,2
4,6,CML103,,GA,0,full,lowN,dense,2
5,6,CML103,,PACGA,0,full,lowN,dense,2
6,6,CML103,,nohormone,0,full,lowN,dense,2
1,6,Mo360,,PAC,0,full,lowN,dense,2
2,6,Mo360,,UCN,0,full,lowN,dense,2
3,6,Mo360,,PCZ,0,full,lowN,dense,2
4,6,Mo360,0,GA,0,full,lowN,dense,2
5,6,Mo360,0,PACGA,0,full,lowN,dense,2
6,6,Mo360,,nohormone,0,full,lowN,dense,2
1,6,B73,,PAC,0,full,lowN,dense,2
2,6,B73,,UCN,0,full,lowN,dense,2
3,6,B73,,PCZ,0,full,lowN,dense,2
4,6,B73,,GA,0,full,lowN,dense,2
5,6,B73,,PACGA,0,full,lowN,dense,2
6,6,B73,,nohormone,0,full,lowN,dense,2
1,4,Mo298,0,PAC,0,full,lowN,regular,1
2,4,Mo298,3.677,UCN,3.677,full,lowN,regular,1
3,4,Mo298,4.795,PCZ,4.795,full,lowN,regular,1
4,4,Mo298,,GA,0,full,lowN,regular,1
5,4,Mo298,,PACGA,0,full,lowN,regular,1
6,4,Mo298,,nohormone,0,full,lowN,regular,1
1,4,Mo352,4.227,PAC,4.227,full,lowN,regular,1
2,4,Mo352,3.403,UCN,3.403,full,lowN,regular,1
3,4,Mo352,3.283,PCZ,3.283,full,lowN,regular,1
4,4,Mo352,3.097,GA,3.097,full,lowN,regular,1
5,4,Mo352,4.105,PACGA,4.105,full,lowN,regular,1
6,4,Mo352,3.494,nohormone,3.494,full,lowN,regular,1
1,4,Oh43,2.845,PAC,2.845,full,lowN,regular,1
2,4,Oh43,0,UCN,0,full,lowN,regular,1
3,4,Oh43,0,PCZ,0,full,lowN,regular,1
4,4,Oh43,3.756,GA,3.756,full,lowN,regular,1
5,4,Oh43,4.238,PACGA,4.238,full,lowN,regular,1
6,4,Oh43,,nohormone,0,full,lowN,regular,1
1,6,Mo298,,PAC,0,full,lowN,dense,2
2,6,Mo298,,UCN,0,full,lowN,dense,2
3,6,Mo298,,PCZ,0,full,lowN,dense,2
4,6,Mo298,3.071,GA,3.071,full,lowN,dense,2
5,6,Mo298,,PACGA,0,full,lowN,dense,2
6,6,Mo298,,nohormone,0,full,lowN,dense,2
1,6,Mo352,,PAC,0,full,lowN,dense,2
2,6,Mo352,,UCN,0,full,lowN,dense,2
3,6,Mo352,3.734,PCZ,3.734,full,lowN,dense,2
4,6,Mo352,3.58,GA,3.58,full,lowN,dense,2
5,6,Mo352,,PACGA,0,full,lowN,dense,2
6,6,Mo352,0,nohormone,0,full,lowN,dense,2
1,4,Mo360,3.128,PAC,3.128,full,lowN,regular,1
2,4,Mo360,,UCN,0,full,lowN,regular,1
3,4,Mo360,4.287,PCZ,4.287,full,lowN,regular,1
4,4,Mo360,4.978,GA,4.978,full,lowN,regular,1
5,4,Mo360,3.011,PACGA,3.011,full,lowN,regular,1
6,4,Mo360,3.224,nohormone,3.224,full,lowN,regular,1
1,4,Mo276,,PAC,0,full,lowN,regular,1
2,4,Mo276,3.613,UCN,3.613,full,lowN,regular,1
3,4,Mo276,3.579,PCZ,3.579,full,lowN,regular,1
4,4,Mo276,0,GA,0,full,lowN,regular,1
5,4,Mo276,0,PACGA,0,full,lowN,regular,1
6,4,Mo276,3.201,nohormone,3.201,full,lowN,regular,1
1,6,Mo360,,PAC,0,full,lowN,dense,2
2,6,Mo360,,UCN,0,full,lowN,dense,2
3,6,Mo360,,PCZ,0,full,lowN,dense,2
4,6,Mo360,,GA,0,full,lowN,dense,2
5,6,Mo360,,PACGA,0,full,lowN,dense,2
6,6,Mo360,0,nohormone,0,full,lowN,dense,2
1,6,Mo276,0,PAC,0,full,lowN,dense,2
2,6,Mo276,,UCN,0,full,lowN,dense,2
3,6,Mo276,,PCZ,0,full,lowN,dense,2
4,6,Mo276,0,GA,0,full,lowN,dense,2
5,6,Mo276,4.184,PACGA,4.184,full,lowN,dense,2
6,6,Mo276,0,nohormone,0,full,lowN,dense,2
1,7,Oh7B,4.842,PAC,4.842,drought,lowN,regular,2
2,7,Oh7B,0,UCN,0,drought,lowN,regular,2
3,7,Oh7B,0,PCZ,0,drought,lowN,regular,2
4,7,Oh7B,,GA,0,drought,lowN,regular,2
5,7,Oh7B,,PACGA,0,drought,lowN,regular,2
6,7,Oh7B,0,nohormone,0,drought,lowN,regular,2
1,7,Mo276,3.438,PAC,3.438,drought,lowN,regular,2
2,7,Mo276,4.284,UCN,4.284,drought,lowN,regular,2
3,7,Mo276,0,PCZ,0,drought,lowN,regular,2
4,7,Mo276,4.781,GA,4.781,drought,lowN,regular,2
5,7,Mo276,,PACGA,0,drought,lowN,regular,2
6,7,Mo276,,nohormone,0,drought,lowN,regular,2
1,7,Mo287,0,PAC,0,drought,lowN,regular,2
2,7,Mo287,,UCN,0,drought,lowN,regular,2
3,7,Mo287,,PCZ,0,drought,lowN,regular,2
4,7,Mo287,0,GA,0,drought,lowN,regular,2
5,7,Mo287,,PACGA,0,drought,lowN,regular,2
6,7,Mo287,,nohormone,0,drought,lowN,regular,2
1,8,Oh7B,0,PAC,0,drought,lowN,dense,3
2,8,Oh7B,,UCN,0,drought,lowN,dense,3
3,8,Oh7B,,PCZ,0,drought,lowN,dense,3
4,8,Oh7B,,GA,0,drought,lowN,dense,3
5,8,Oh7B,,PACGA,0,drought,lowN,dense,3
6,8,Oh7B,,nohormone,0,drought,lowN,dense,3
1,8,Mo276,0,PAC,0,drought,lowN,dense,3
2,8,Mo276,,UCN,0,drought,lowN,dense,3
3,8,Mo276,0,PCZ,0,drought,lowN,dense,3
4,8,Mo276,8.47,GA,8.47,drought,lowN,dense,3
5,8,Mo276,0,PACGA,0,drought,lowN,dense,3
6,8,Mo276,3.291,nohormone,3.291,drought,lowN,dense,3
1,8,Mo287,,PAC,0,drought,lowN,dense,3
2,8,Mo287,,UCN,0,drought,lowN,dense,3
3,8,Mo287,,PCZ,0,drought,lowN,dense,3
4,8,Mo287,,GA,0,drought,lowN,dense,3
5,8,Mo287,,PACGA,0,drought,lowN,dense,3
6,8,Mo287,2.898,nohormone,2.898,drought,lowN,dense,3
1,7,LH132,,PAC,0,drought,lowN,regular,2
2,7,LH132,,UCN,0,drought,lowN,regular,2
3,7,LH132,,PCZ,0,drought,lowN,regular,2
4,7,LH132,,GA,0,drought,lowN,regular,2
5,7,LH132,,PACGA,0,drought,lowN,regular,2
6,7,LH132,,nohormone,0,drought,lowN,regular,2
1,7,Mo17,4.523,PAC,4.523,drought,lowN,regular,2
2,7,Mo17,,UCN,0,drought,lowN,regular,2
3,7,Mo17,4.511,PCZ,4.511,drought,lowN,regular,2
4,7,Mo17,,GA,0,drought,lowN,regular,2
5,7,Mo17,,PACGA,0,drought,lowN,regular,2
6,7,Mo17,,nohormone,0,drought,lowN,regular,2
1,7,Mo17,4.773,PAC,4.773,drought,lowN,regular,2
2,7,Mo17,,UCN,0,drought,lowN,regular,2
3,7,Mo17,,PCZ,0,drought,lowN,regular,2
4,7,Mo17,,GA,0,drought,lowN,regular,2
5,7,Mo17,5.053,PACGA,5.053,drought,lowN,regular,2
6,7,Mo17,0,nohormone,0,drought,lowN,regular,2
1,8,LH132,,PAC,0,drought,lowN,dense,3
2,8,LH132,,UCN,0,drought,lowN,dense,3
3,8,LH132,,PCZ,0,drought,lowN,dense,3
4,8,LH132,,GA,0,drought,lowN,dense,3
5,8,LH132,,PACGA,0,drought,lowN,dense,3
6,8,LH132,,nohormone,0,drought,lowN,dense,3
1,8,Mo17,,PAC,0,drought,lowN,dense,3
2,8,Mo17,,UCN,0,drought,lowN,dense,3
3,8,Mo17,,PCZ,0,drought,lowN,dense,3
4,8,Mo17,,GA,0,drought,lowN,dense,3
5,8,Mo17,,PACGA,0,drought,lowN,dense,3
6,8,Mo17,,nohormone,0,drought,lowN,dense,3
1,8,Mo17,,PAC,0,drought,lowN,dense,3
2,8,Mo17,,UCN,0,drought,lowN,dense,3
3,8,Mo17,,PCZ,0,drought,lowN,dense,3
4,8,Mo17,,GA,0,drought,lowN,dense,3
5,8,Mo17,,PACGA,0,drought,lowN,dense,3
6,8,Mo17,,nohormone,0,drought,lowN,dense,3
1,7,Mo287,,PAC,0,drought,lowN,regular,2
2,7,Mo287,,UCN,0,drought,lowN,regular,2
3,7,Mo287,,PCZ,0,drought,lowN,regular,2
4,7,Mo287,,GA,0,drought,lowN,regular,2
5,7,Mo287,,PACGA,0,drought,lowN,regular,2
6,7,Mo287,3.607,nohormone,3.607,drought,lowN,regular,2
1,7,Oh7B,0,PAC,0,drought,lowN,regular,2
2,7,Oh7B,,UCN,0,drought,lowN,regular,2
3,7,Oh7B,,PCZ,0,drought,lowN,regular,2
4,7,Oh7B,,GA,0,drought,lowN,regular,2
5,7,Oh7B,0,PACGA,0,drought,lowN,regular,2
6,7,Oh7B,0,nohormone,0,drought,lowN,regular,2
1,7,Mo360,4.063,PAC,4.063,drought,lowN,regular,2
2,7,Mo360,3.815,UCN,3.815,drought,lowN,regular,2
3,7,Mo360,4.232,PCZ,4.232,drought,lowN,regular,2
4,7,Mo360,4.198,GA,4.198,drought,lowN,regular,2
5,7,Mo360,0,PACGA,0,drought,lowN,regular,2
6,7,Mo360,3.826,nohormone,3.826,drought,lowN,regular,2
1,8,Mo287,,PAC,0,drought,lowN,dense,3
2,8,Mo287,,UCN,0,drought,lowN,dense,3
3,8,Mo287,,PCZ,0,drought,lowN,dense,3
4,8,Mo287,,GA,0,drought,lowN,dense,3
5,8,Mo287,,PACGA,0,drought,lowN,dense,3
6,8,Mo287,,nohormone,0,drought,lowN,dense,3
1,8,Oh7B,,PAC,0,drought,lowN,dense,3
2,8,Oh7B,,UCN,0,drought,lowN,dense,3
3,8,Oh7B,,PCZ,0,drought,lowN,dense,3
4,8,Oh7B,,GA,0,drought,lowN,dense,3
5,8,Oh7B,,PACGA,0,drought,lowN,dense,3
6,8,Oh7B,,nohormone,0,drought,lowN,dense,3
1,8,Mo360,0,PAC,0,drought,lowN,dense,3
2,8,Mo360,0,UCN,0,drought,lowN,dense,3
3,8,Mo360,0,PCZ,0,drought,lowN,dense,3
4,8,Mo360,2.739,GA,2.739,drought,lowN,dense,3
5,8,Mo360,0,PACGA,0,drought,lowN,dense,3
6,8,Mo360,0,nohormone,0,drought,lowN,dense,3
1,7,Mo017,,PAC,0,drought,lowN,regular,2
2,7,Mo017,,UCN,0,drought,lowN,regular,2
3,7,Mo017,3.45,PCZ,3.45,drought,lowN,regular,2
4,7,Mo017,3.173,GA,3.173,drought,lowN,regular,2
5,7,Mo017,3.309,PACGA,3.309,drought,lowN,regular,2
6,7,Mo017,3.653,nohormone,3.653,drought,lowN,regular,2
1,7,Mo298,0,PAC,0,drought,lowN,regular,2
2,7,Mo298,,UCN,0,drought,lowN,regular,2
3,7,Mo298,,PCZ,0,drought,lowN,regular,2
4,7,Mo298,5.938,GA,5.938,drought,lowN,regular,2
5,7,Mo298,,PACGA,0,drought,lowN,regular,2
6,7,Mo298,,nohormone,0,drought,lowN,regular,2
1,7,Oh7B,2.661,PAC,2.661,drought,lowN,regular,2
2,7,Oh7B,,UCN,0,drought,lowN,regular,2
3,7,Oh7B,,PCZ,0,drought,lowN,regular,2
4,7,Oh7B,3.042,GA,3.042,drought,lowN,regular,2
5,7,Oh7B,,PACGA,0,drought,lowN,regular,2
6,7,Oh7B,0,nohormone,0,drought,lowN,regular,2
1,8,Mo017,,PAC,0,drought,lowN,dense,3
2,8,Mo017,0,UCN,0,drought,lowN,dense,3
3,8,Mo017,,PCZ,0,drought,lowN,dense,3
4,8,Mo017,,GA,0,drought,lowN,dense,3
5,8,Mo017,,PACGA,0,drought,lowN,dense,3
6,8,Mo017,,nohormone,0,drought,lowN,dense,3
1,8,Mo298,,PAC,0,drought,lowN,dense,3
2,8,Mo298,,UCN,0,drought,lowN,dense,3
3,8,Mo298,0,PCZ,0,drought,lowN,dense,3
4,8,Mo298,,GA,0,drought,lowN,dense,3
5,8,Mo298,,PACGA,0,drought,lowN,dense,3
6,8,Mo298,,nohormone,0,drought,lowN,dense,3
1,8,Oh7B,,PAC,0,drought,lowN,dense,3
2,8,Oh7B,,UCN,0,drought,lowN,dense,3
3,8,Oh7B,,PCZ,0,drought,lowN,dense,3
4,8,Oh7B,,GA,0,drought,lowN,dense,3
5,8,Oh7B,,PACGA,0,drought,lowN,dense,3
6,8,Oh7B,,nohormone,0,drought,lowN,dense,3
1,7,Mo352,4.201,PAC,4.201,drought,lowN,regular,2
2,7,Mo352,4.419,UCN,4.419,drought,lowN,regular,2
3,7,Mo352,4.465,PCZ,4.465,drought,lowN,regular,2
4,7,Mo352,4.194,GA,4.194,drought,lowN,regular,2
5,7,Mo352,3.86,PACGA,3.86,drought,lowN,regular,2
6,7,Mo352,0,nohormone,0,drought,lowN,regular,2
1,7,Mo352,4.094,PAC,4.094,drought,lowN,regular,2
2,7,Mo352,3.944,UCN,3.944,drought,lowN,regular,2
3,7,Mo352,4.108,PCZ,4.108,drought,lowN,regular,2
4,7,Mo352,3.743,GA,3.743,drought,lowN,regular,2
5,7,Mo352,4.223,PACGA,4.223,drought,lowN,regular,2
6,7,Mo352,5.284,nohormone,5.284,drought,lowN,regular,2
1,7,Mo17,5.114,PAC,5.114,drought,lowN,regular,2
2,7,Mo17,4.246,UCN,4.246,drought,lowN,regular,2
3,7,Mo17,4.706,PCZ,4.706,drought,lowN,regular,2
4,7,Mo17,5.2,GA,5.2,drought,lowN,regular,2
5,7,Mo17,4.78,PACGA,4.78,drought,lowN,regular,2
6,7,Mo17,4.835,nohormone,4.835,drought,lowN,regular,2
1,8,Mo352,0,PAC,0,drought,lowN,dense,3
2,8,Mo352,4.116,UCN,4.116,drought,lowN,dense,3
3,8,Mo352,0,PCZ,0,drought,lowN,dense,3
4,8,Mo352,0,GA,0,drought,lowN,dense,3
5,8,Mo352,,PACGA,0,drought,lowN,dense,3
6,8,Mo352,4.494,nohormone,4.494,drought,lowN,dense,3
